Entity,Day,Monthly concentration,yearly_avg_co2_conc
World,15/09/2013,393.21,394.795
World,15/10/2013,394.51,394.99084
World,15/11/2013,395.97,395.19168
World,15/12/2013,396.88,395.39917
World,15/01/2014,397.51,395.6025
World,15/02/2014,397.97,395.79166
World,15/03/2014,398.27,395.95667
World,15/04/2014,398.63,396.11417
World,15/05/2014,398.69,396.27582
World,15/06/2014,397.72,396.4225
World,15/07/2014,396.13,396.56082
World,15/08/2014,395.02,396.70917
World,15/09/2014,395.12,396.86835
World,15/10/2014,396.38,397.02417
World,15/11/2014,397.86,397.18167
World,15/12/2014,398.84,397.345
World,15/01/2015,399.56,397.51584
World,15/02/2015,400.12,397.695
World,15/03/2015,400.57,397.88666
World,15/04/2015,400.96,398.08084
World,15/05/2015,400.91,398.26584
World,15/06/2015,400.06,398.46082
World,15/07/2015,398.38,398.64832
World,15/08/2015,397.07,398.81915
World,15/09/2015,397.34,399.00415
World,15/10/2015,398.8,399.20584
World,15/11/2015,400.36,399.41415
World,15/12/2015,401.66,399.64917
World,15/01/2016,402.63,399.905
World,15/02/2016,403.27,400.1675
World,15/03/2016,403.86,400.44165
World,15/04/2016,404.38,400.72665
World,15/05/2016,404.44,401.02084
World,15/06/2016,403.65,401.32
World,15/07/2016,402.11,401.63083
World,15/08/2016,400.8,401.94165
World,15/09/2016,400.97,402.24417
World,15/10/2016,402.41,402.54498
World,15/11/2016,403.78,402.83
World,15/12/2016,404.68,403.08167
World,15/01/2017,405.32,403.30582
World,15/02/2017,405.91,403.52582
World,15/03/2017,406.32,403.73083
World,15/04/2017,406.61,403.91666
World,15/05/2017,406.64,404.1
World,15/06/2017,405.84,404.2825
World,15/07/2017,404.14,404.45166
World,15/08/2017,402.6,404.60168
World,15/09/2017,402.68,404.74417
World,15/10/2017,404.17,404.89084
World,15/11/2017,405.69,405.05
World,15/12/2017,406.72,405.22
World,15/01/2018,407.51,405.4025
World,15/02/2018,408.19,405.5925
World,15/03/2018,408.73,405.79333
World,15/04/2018,409.03,405.995
World,15/05/2018,408.92,406.185
World,15/06/2018,408.04,406.36835
World,15/07/2018,406.45,406.56085
World,15/08/2018,405.08,406.76752
World,15/09/2018,405.15,406.97333
World,15/10/2018,406.62,407.1775
World,15/11/2018,408.1,407.37833
World,15/12/2018,409.19,407.58417
World,15/01/2019,409.93,407.78583
World,15/02/2019,410.35,407.96582
World,15/03/2019,410.89,408.14584
World,15/04/2019,411.32,408.33667
World,15/05/2019,411.32,408.53668
World,15/06/2019,410.49,408.74084
World,15/07/2019,408.83,408.93918
World,15/08/2019,407.58,409.1475
World,15/09/2019,407.86,409.37332
World,15/10/2019,409.38,409.60333
World,15/11/2019,410.82,409.83
World,15/12/2019,411.74,410.0425
World,15/01/2020,412.48,410.255
World,15/02/2020,413.03,410.47833
World,15/03/2020,413.52,410.6975
World,15/04/2020,413.97,410.91833
World,15/05/2020,413.88,411.13165
World,15/06/2020,412.9,411.3325
World,15/07/2020,411.19,411.52917
World,15/08/2020,409.82,411.71582
World,15/09/2020,410.11,411.90332
World,15/10/2020,411.73,412.09918
World,15/11/2020,413.29,412.305
World,15/12/2020,414.17,412.5075
World,15/01/2021,414.82,412.7025
World,15/02/2021,415.33,412.89417
World,15/03/2021,415.66,413.0725
World,15/04/2021,415.96,413.23834
World,15/05/2021,416.1,413.42334
World,15/06/2021,415.27,413.62085
World,15/07/2021,413.53,413.81583
World,15/08/2021,412.27,414.02
World,15/09/2021,412.52,414.22083
World,15/10/2021,413.93,414.40417
World,15/11/2021,415.64,414.6
World,15/12/2021,416.68,414.80917
World,15/01/2022,417.31,415.01666
World,15/02/2022,417.82,415.22415
World,15/03/2022,418.34,415.4475
World,15/04/2022,418.73,415.67834
World,15/05/2022,418.58,415.885
World,15/06/2022,417.55,416.075
World,15/07/2022,415.83,416.26666
World,15/08/2022,414.59,416.46
World,15/09/2022,414.82,416.65167
World,15/10/2022,416.32,416.85083
World,15/11/2022,417.95,417.04333
World,15/12/2022,419.02,417.23834
World,15/01/2023,419.58,417.4275
World,15/02/2023,419.93,417.60333
World,15/03/2023,420.31,417.7675
World,15/04/2023,420.8,417.94
World,15/05/2023,420.77,418.1225
World,15/06/2023,419.76,418.30667
World,15/07/2023,418.09,418.495
World,15/08/2023,416.93,418.69
World,15/09/2023,417.32,418.89832
World,15/10/2023,418.98,419.12
World,15/11/2023,420.53,419.335
World,15/12/2023,421.68,419.55667
World,15/01/2024,422.4,419.79166
World,15/02/2024,422.86,420.03583
